"Taxon","Degree","Betweenness","Closeness","Eigenvector","Importance"
"Erysipelothrix.1",88,0.00957429718875502,1.65062530039274,0.719812480352969,1.38777878078145e-16
"Peptoniphilus_B_226807.2",51,0.00803212851405622,1.56718896558659,0.285067864612319,1.38777878078145e-16
"Ignatzschineria.4",85,0.00597590361445783,1.62819215249144,0.683581362208165,1.38777878078145e-16
"NA.5",11,0.0074859437751004,1.32997212195634,0.0239786447822085,1.11022302462516e-16
"Lactobacillus.1",79,0.00234538152610442,1.60270970728177,0.7261184099437,1.11022302462516e-16
"Parafannyhessea",26,0.000224899598393574,1.37418854210346,0.105526563456786,1.11022302462516e-16
"Alcaligenes",64,0.00783935742971887,1.65604668335253,0.391307067700928,1.11022302462516e-16
"NA.54",27,0.00346987951807229,1.46040215281181,0.0979263986866188,1.11022302462516e-16
"Clostridium_T.2",28,0.000610441767068273,1.3828302336945,0.0840408459394104,1.11022302462516e-16
"Blautia_A_141781.4",62,0.00250602409638554,1.63547719659765,0.460178744017318,1.11022302462516e-16
